City_ID,City,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,1.17,88,13,5.24,GS,1712786020
1,az zabadani,33.7249,36.1005,8.22,82,6,1.64,SY,1712786020
2,pea ridge,38.414,-82.3199,19.6,83,100,1.58,US,1712786020
3,albany,42.6001,-73.9662,12.87,85,100,0.45,US,1712785798
4,puerto natales,-51.7236,-72.4875,9.25,61,0,7.2,CL,1712785861
5,ugoofaaru,5.6667,73.0,29.43,72,21,2.41,MV,1712786021
6,tiksi,71.6872,128.8694,-16.33,96,100,3.85,RU,1712786021
7,contamana,-7.3333,-75.0167,32.72,49,70,2.6,PE,1712786021
8,edinburgh of the seven seas,-37.0676,-12.3116,17.8,81,77,2.7,SH,1712786021
9,nago,26.5881,127.9761,20.64,84,87,3.26,JP,1712786021
10,crane,31.3974,-102.3501,22.11,17,0,8.63,US,1712786021
11,diu,20.7141,70.9822,24.44,69,31,4.81,IN,1712786022
12,guangming,45.3333,122.7833,6.59,60,18,3.91,CN,1712786022
13,stanley,54.868,-1.6985,12.77,88,75,6.69,GB,1712786022
14,bethel,41.3712,-73.414,19.64,66,20,3.6,US,1712785908
15,puerto ayora,-0.7393,-90.3518,28.98,93,59,1.79,EC,1712786022
16,yellowknife,62.456,-114.3525,3.01,79,20,3.09,CA,1712785753
17,saipan,15.1355,145.701,27.39,74,20,7.2,MP,1712786022
18,tangalle,6.024,80.7911,25.09,80,100,4.14,LK,1712786022
19,hermanus,-34.4187,19.2345,14.33,71,21,8.65,ZA,1712786022
20,san antonio de pale,-1.4014,5.6325,28.66,80,77,4.72,GQ,1712786022
21,mkushi,-13.6202,29.3939,19.58,92,99,1.81,ZM,1712786022
22,ushuaia,-54.8,-68.3,6.81,76,20,14.92,AR,1712785875
23,port lincoln,-34.7333,135.8667,15.01,75,61,3.11,AU,1712786023
24,lihue,21.9789,-159.3672,28.58,65,0,4.12,US,1712786023
25,hadibu,12.65,54.0333,26.94,77,7,2.7,YE,1712786023
26,kodiak,57.79,-152.4072,1.73,64,100,5.14,US,1712786023
27,waitangi,-43.9535,-176.5597,17.12,91,98,5.36,NZ,1712786023
28,lerwick,60.1545,-1.1494,8.0,98,100,8.12,GB,1712786023
29,korem,12.5058,39.5228,15.57,78,7,0.79,ET,1712786023
30,la ronge,55.1001,-105.2842,12.12,40,40,8.23,CA,1712786023
31,hawaiian paradise park,19.5933,-154.9731,26.6,74,100,2.06,US,1712786023
32,mont-dore,-22.2833,166.5833,28.33,99,95,2.97,NC,1712786023
33,shakhun'ya,57.6758,46.6114,5.72,90,27,3.85,RU,1712786023
34,nuku'alofa,-21.1333,-175.2,27.19,89,40,4.63,TO,1712785969
35,el abiodh sidi cheikh,32.893,0.5484,14.37,21,12,4.35,DZ,1712786024
36,altai,46.3722,96.2583,-0.2,69,57,2.32,MN,1712786024
37,enewetak,11.3474,162.3373,27.16,81,100,9.9,MH,1712786024
38,adamstown,-25.066,-130.1015,22.84,86,100,5.95,PN,1712786024
39,west island,-12.1568,96.8225,25.99,73,72,3.6,CC,1712786024
40,hassi messaoud,31.6804,6.0729,20.92,40,3,4.63,DZ,1712786024
41,punta arenas,-53.15,-70.9167,9.06,66,75,8.23,CL,1712785822
42,badger,64.8,-147.5333,5.56,50,20,0.45,US,1712786024
